,PROP_TAG,THRESH,0,3,4,6,8,9,10,1604,1662,1764,4588,5314,8941,8978,10821,10860,10888,11065,11543
0,Al Horford_rebounds_under,7.5,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
1,Andrew Nembhard_assists_under,5.5,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
2,Jaylen Brown_points_under,26.5,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,
3,Jayson Tatum_points_under,29.5,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,
4,Jayson Tatum_rebounds_under,10.5,,,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,
5,Jrue Holiday_fgm_under,5.5,,,1.0,,,,,,,,,,,,,,,,
6,Jrue Holiday_points_under,14.5,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,
7,Jrue Holiday_rebounds_under,5.5,,,,,,,1.0,,1.0,1.0,,,,,,,,,
8,Myles Turner_fg3m_over,1.5,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0
9,Myles Turner_rebounds_under,7.5,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0
10,Payton Pritchard_assists_over,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11,Payton Pritchard_points_over,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
12,Sam Hauser_fgm_over,1.5,,1.0,,,,,,,,,,,,,,,,,
13,Sam Hauser_points_over,4.5,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
14,Tyrese Haliburton_points_over,16.5,,,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,
