,PLAYER,TEAM,STAT,THRESH,ODDS,TYPE,PROB,EV,HOUSE_PROB,team_fgm_mad,team_fgm_average,team_fga_mad,team_fga_average,team_fg3m_mad,team_fg3m_average,team_fg3a_mad,team_fg3a_average,team_points_mad,team_points_average,team_rebounds_mad,team_rebounds_average,team_assists_mad,team_assists_average,team_steals_mad,team_steals_average,team_blocks_mad,team_blocks_average,team_to_mad,oppteam_to_average
40,Payton Pritchard,Celtics,fg3m,1.5,-105,over,0.5719076705793775,0.5829082127986851,0.5121951219512195,5.930408874022408,42.52,8.895613311033612,87.04,2.965204437011204,15.28,5.930408874022408,40.64,16.30862440356162,114.96,7.41301109252801,44.0,5.930408874022408,26.08,1.482602218505602,6.8,2.965204437011204,5.84,1.482602218505602,10.8
42,Aaron Nesmith,Pacers,assists,1.5,-120,over,0.6047127189295851,0.5431999235211975,0.5454545454545454,5.930408874022408,46.84,5.930408874022408,91.0,4.447806655516806,13.24,5.930408874022408,34.6,13.343419966550417,120.12,7.41301109252801,41.4,7.41301109252801,31.12,2.965204437011204,6.2,2.965204437011204,5.48,2.965204437011204,10.28
43,Payton Pritchard,Celtics,rebounds,2.5,-105,over,0.5677887756457282,0.5426999527321081,0.5121951219512195,5.930408874022408,42.52,8.895613311033612,87.04,2.965204437011204,15.28,5.930408874022408,40.64,16.30862440356162,114.96,7.41301109252801,44.0,5.930408874022408,26.08,1.482602218505602,6.8,2.965204437011204,5.84,1.482602218505602,10.8
44,Aaron Nesmith,Pacers,blocks,0.5,145,over,0.4511883639059735,0.5270574578481759,0.4081632653061224,5.930408874022408,46.84,5.930408874022408,91.0,4.447806655516806,13.24,5.930408874022408,34.6,13.343419966550417,120.12,7.41301109252801,41.4,7.41301109252801,31.12,2.965204437011204,6.2,2.965204437011204,5.48,2.965204437011204,10.28
46,Obi Toppin,Pacers,assists,1.5,100,over,0.5489585098563449,0.4895850985634489,0.5,5.930408874022408,46.84,5.930408874022408,91.0,4.447806655516806,13.24,5.930408874022408,34.6,13.343419966550417,120.12,7.41301109252801,41.4,7.41301109252801,31.12,2.965204437011204,6.2,2.965204437011204,5.48,2.965204437011204,10.28
48,Derrick White,Celtics,points,15.5,-120,over,0.595260261438474,0.45655239651934565,0.5454545454545454,5.930408874022408,42.52,8.895613311033612,87.04,2.965204437011204,15.28,5.930408874022408,40.64,16.30862440356162,114.96,7.41301109252801,44.0,5.930408874022408,26.08,1.482602218505602,6.8,2.965204437011204,5.84,1.482602218505602,10.8
49,Ben Sheppard,Pacers,fg3m,0.5,-170,over,0.6865138191173947,0.4517273871087235,0.6296296296296295,5.930408874022408,46.84,5.930408874022408,91.0,4.447806655516806,13.24,5.930408874022408,34.6,13.343419966550417,120.12,7.41301109252801,41.4,7.41301109252801,31.12,2.965204437011204,6.2,2.965204437011204,5.48,2.965204437011204,10.28
50,Pascal Siakam,Pacers,fgm,8.5,100,over,0.5443473956775811,0.4434739567758106,0.5,5.930408874022408,46.84,5.930408874022408,91.0,4.447806655516806,13.24,5.930408874022408,34.6,13.343419966550417,120.12,7.41301109252801,41.4,7.41301109252801,31.12,2.965204437011204,6.2,2.965204437011204,5.48,2.965204437011204,10.28
